Date,ConnType,ConnDetails,Lat,Lon,Download,DownloadBytes,Upload,UploadBytes,Latency,ServerName,InternalIp,ExternalIp,Is SpeedTest VPN
"2025-07-11 23:31,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,61260,81384257,20888,38021745,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:30,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,62808,102099277,34248,56444008,93,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:30,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,61175,104122457,27261,46704078,34,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:29,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,67310,115790931,33726,54979232,28,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:28,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,60801,106122054,32118,36115640,30,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:27,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,52380,83951101,28951,41312608,38,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:26,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,47774,77016447,32314,51417744,33,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:26,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,69214,114889615,35146,60232424,30,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:25,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,63898,118826011,33343,37315016,30,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:24,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,59171,100218460,43619,76300704,36,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:23,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,64947,110760359,23568,40243690,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:22,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,57703,86256067,14975,26202481,29,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:21,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,51437,83614467,21237,33910952,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:20,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,41384,77013094,35417,47437368,32,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:13,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,59061,100696823,35421,63864880,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:13,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,57773,94144337,34129,61941632,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:11,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,67665,111306029,39155,66571343,36,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:11,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,56556,100880007,32750,57232336,31,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:10,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,50976,98299826,29334,49482462,28,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:09,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,66923,105936748,35685,60578512,26,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
"2025-07-11 23:08,Wi-Fi,""SSID: airBaltic Starlink"",48.287271,11.787345,55333,68383461,31856,47877264,26,""Landshut"",""10.2.170.84"",""169.155.226.190"",No"
